"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","scale_index"
"2471",2022,"MI","FT","Data Scientist",47000,"GBP",57872,"GB",50,"GB","M",3.87260966238567
"2501",2022,"MI","FT","Research Engineer",240000,"USD",240000,"US",100,"US","M",3.86811437963695
"2513",2022,"MI","FT","ML Engineer",180000,"USD",180000,"US",100,"US","M",4.45374225545921
"2514",2022,"MI","FT","ML Engineer",100000,"USD",100000,"US",100,"US","M",2.59366416564132
"2527",2022,"MI","FT","Data Analyst",80000,"USD",80000,"US",0,"US","M",4.2109307869533
"2528",2022,"MI","FT","Data Analyst",52500,"USD",52500,"US",0,"US","M",4.75233608948797
"2547",2022,"MI","FT","Data Scientist",30000,"USD",30000,"MX",100,"MX","L",4.13837954673984
"2548",2022,"MI","FT","Analytics Engineer",78000,"USD",78000,"BR",100,"BR","M",4.15968001236634
"2549",2022,"MI","FT","Analytics Engineer",48000,"USD",48000,"BR",100,"BR","M",4.22843531823039
"2554",2022,"MI","FT","Data Engineer",78000,"USD",78000,"BR",100,"BR","M",2.83721628318659
"2555",2022,"MI","FT","Data Engineer",42000,"USD",42000,"BR",100,"BR","M",4.85465851940679
"2560",2022,"MI","FT","BI Analyst",78000,"USD",78000,"BR",100,"BR","M",3.757904121409
"2561",2022,"MI","FT","BI Analyst",48000,"USD",48000,"BR",100,"BR","M",1.98400457763908
"2568",2022,"MI","FT","Data Scientist",84000,"USD",84000,"BR",100,"BR","M",3.77230950669523
"2569",2022,"MI","FT","Data Scientist",54000,"USD",54000,"BR",100,"BR","M",4.22416983261698
"2580",2021,"MI","FT","Data Engineer",100000,"AUD",75050,"AU",50,"AU","L",3.26317507837743
"2593",2022,"MI","FT","Data Analyst",85000,"USD",85000,"US",0,"US","M",3.15328925945976
"2594",2022,"MI","FT","Data Analyst",65000,"USD",65000,"US",0,"US","M",3.88854113978356
"2597",2022,"MI","FT","Data Engineer",90000,"GBP",110820,"GB",0,"GB","M",3.68839834363474
"2598",2022,"MI","FT","Data Engineer",75000,"GBP",92350,"GB",0,"GB","M",2.57967614150919
"2637",2022,"MI","FT","ML Engineer",148500,"USD",148500,"US",100,"US","L",1.53306135313902
"2638",2022,"MI","FT","ML Engineer",98200,"USD",98200,"US",100,"US","L",4.48471583548113
"2647",2022,"MI","FT","Data Manager",134000,"USD",134000,"US",0,"US","M",3.06202768923576
"2648",2022,"MI","FT","Data Manager",98000,"USD",98000,"US",0,"US","M",7.33073330557046
"2649",2022,"MI","FT","Data Analyst",105000,"USD",105000,"US",0,"US","M",3.83705453668101
"2650",2022,"MI","FT","Data Analyst",62000,"USD",62000,"US",0,"US","M",4.22045578480086
"2653",2022,"MI","FT","Data Scientist",144200,"USD",144200,"US",100,"US","M",4.87621081167933
"2654",2022,"MI","FT","Data Scientist",115360,"USD",115360,"US",100,"US","M",1.85103704808468
"2655",2022,"MI","FT","Data Scientist",120000,"AUD",83171,"AU",0,"AU","L",3.76624864723609
"2663",2022,"MI","FT","Data Scientist",108000,"USD",108000,"US",50,"US","L",2.00150715411552
"2679",2022,"MI","FT","Data Scientist",72000,"EUR",75648,"DE",100,"DE","S",2.76521960043203
"2685",2022,"MI","FT","NLP Engineer",120000,"CZK",5132,"CZ",100,"CZ","M",4.84630371767861
"2687",2022,"MI","FT","Research Scientist",120000,"EUR",126080,"DE",0,"DE","S",3.95350518185825
"2688",2022,"MI","FT","Research Scientist",80000,"EUR",84053,"DE",0,"DE","S",4.40364276525954
"2691",2022,"MI","FT","Analytics Engineer",108000,"USD",108000,"US",100,"US","M",4.767454660414
"2692",2022,"MI","FT","Analytics Engineer",85000,"USD",85000,"US",100,"US","M",4.86710150194461
"2699",2022,"MI","FT","BI Data Analyst",65000,"AUD",45050,"AU",50,"AU","L",2.74541885100498
"2701",2022,"MI","FT","Data Analytics Engineer",135000,"USD",135000,"US",100,"US","L",3.84220201033697
"2713",2022,"MI","FT","Data Scientist",10000,"USD",10000,"TR",0,"TR","M",3.48768322030218
"2777",2022,"MI","FT","Data Operations Engineer",100000,"USD",100000,"US",100,"US","M",4.41302086839955
"2778",2022,"MI","FT","Data Operations Engineer",60000,"USD",60000,"US",100,"US","M",4.56425626094745
"2779",2022,"MI","FT","Data Engineer",65000,"GBP",80036,"GB",100,"GB","M",4.72606595210077
"2780",2022,"MI","FT","Data Engineer",55000,"GBP",67723,"GB",100,"GB","M",3.58489778484176
"2785",2022,"MI","FT","Business Data Analyst",150000,"USD",150000,"US",100,"US","L",4.04161530016541
"2786",2022,"MI","FT","Data Scientist",83000,"GBP",102200,"GB",100,"GB","M",4.22429205051533
"2806",2022,"MI","CT","NLP Engineer",60000,"USD",60000,"IN",100,"US","S",4.78640914041459
"2811",2022,"MI","FT","Data Engineer",65000,"GBP",80036,"GB",100,"GB","M",3.57663716276696
"2812",2022,"MI","FT","Data Engineer",55000,"GBP",67723,"GB",100,"GB","M",3.63246604344955
"2815",2022,"MI","FT","Data Operations Engineer",100000,"USD",100000,"US",100,"US","M",2.23297969406904
"2816",2022,"MI","FT","Data Operations Engineer",60000,"USD",60000,"US",100,"US","M",3.81646212412334
"2829",2022,"MI","FT","Data Engineer",150000,"USD",150000,"US",0,"US","M",4.83487199727826
"2830",2022,"MI","FT","Data Engineer",100000,"USD",100000,"US",0,"US","M",3.41279948883786
"2839",2022,"MI","FT","Data Operations Engineer",100000,"USD",100000,"US",100,"US","M",3.64106759741377
"2840",2022,"MI","FT","Data Operations Engineer",60000,"USD",60000,"US",100,"US","M",6.11412883607947
"2846",2022,"MI","FT","Data Manager",134000,"USD",134000,"US",0,"US","M",4.64541105238532
"2847",2022,"MI","FT","Data Manager",98000,"USD",98000,"US",0,"US","M",3.6876800443696
"2851",2022,"MI","FT","Data Analyst",136000,"USD",136000,"US",100,"US","M",5.18544828285913
"2852",2022,"MI","FT","Data Analyst",112000,"USD",112000,"US",100,"US","M",4.55379896394427
"2868",2022,"MI","FT","Data Analyst",97500,"USD",97500,"US",100,"US","L",3.94624606128197
"2871",2022,"MI","FT","Data Scientist",70000,"EUR",73546,"NL",50,"NL","L",6.12746303485883
"2888",2022,"MI","FT","Financial Data Analyst",75000,"USD",75000,"US",0,"US","M",3.81229352055578
"2889",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"GR",100,"GR","M",4.09875784493933
"2890",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"GR",100,"GR","M",5.91037814936148
"2891",2022,"MI","FT","Data Engineer",80000,"GBP",98506,"GB",100,"GB","M",5.62145571560741
"2892",2022,"MI","FT","Data Engineer",70000,"GBP",86193,"GB",100,"GB","M",6.0930679948022
"2893",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"ES","M",3.30776407206638
"2894",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"ES","M",1.71280188913353
"2922",2022,"MI","FT","Data Scientist",96000,"GBP",118208,"GB",0,"GB","M",2.34439832512952
"2923",2022,"MI","FT","Data Scientist",90000,"GBP",110820,"GB",0,"GB","M",4.56950941791517
"2933",2022,"MI","FT","Applied Machine Learning Scientist",75000,"USD",75000,"BO",100,"US","M",3.5287774133577
"2934",2022,"MI","CT","Analytics Engineer",7500,"USD",7500,"BO",50,"BO","M",3.96679032262571
"2935",2022,"MI","FT","Data Analyst",113000,"USD",113000,"US",0,"US","L",4.37736706776052
"2938",2022,"MI","FT","Data Analytics Consultant",113000,"USD",113000,"US",100,"US","L",5.15771800072853
"2939",2022,"MI","FT","Product Data Analyst",140000,"USD",140000,"US",100,"US","M",5.39864999962659
"2941",2022,"MI","FT","BI Data Analyst",77000,"AUD",53368,"AU",100,"AU","M",6.11850393063946
"2949",2022,"MI","FT","Research Scientist",145000,"USD",145000,"US",50,"US","L",2.91254013049201
"2954",2022,"MI","FT","Data Scientist",225000,"USD",225000,"US",0,"US","M",5.21603338663365
"2955",2022,"MI","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M",4.67722530463159
"2956",2022,"MI","FT","Data Scientist",52000,"EUR",54634,"NL",100,"NL","S",3.27362309235246
"2968",2022,"MI","FT","Machine Learning Engineer",104000,"GBP",128058,"GB",50,"GB","L",4.11284394166853
"2971",2022,"MI","FT","Applied Machine Learning Scientist",173000,"USD",173000,"US",50,"US","M",4.06521357478166
"2977",2022,"MI","FT","Data Science Manager",158000,"USD",158000,"US",100,"US","M",3.36937278891417
"2978",2022,"MI","FT","Data Science Manager",134000,"USD",134000,"US",100,"US","M",4.51885546276613
"2985",2022,"MI","FT","Data Scientist",110000,"EUR",115573,"NL",0,"NL","M",3.19705550014367
"2986",2022,"MI","FT","Data Scientist",85000,"EUR",89306,"NL",0,"NL","M",3.31837679869162
"3007",2022,"MI","FT","Data Engineer",80000,"GBP",98506,"GB",0,"GB","M",3.96283727814652
"3008",2022,"MI","FT","Data Engineer",60000,"GBP",73880,"GB",0,"GB","M",3.71272568477372
"3024",2022,"MI","FT","Data Analyst",450000,"INR",5723,"IN",100,"IN","S",2.97397283265389
"3027",2022,"MI","FT","BI Data Analyst",48000,"EUR",50432,"DE",100,"DE","S",5.39835918459911
"3036",2022,"MI","FT","Lead Data Scientist",50000,"GBP",61566,"GB",50,"GB","S",4.83669024580683
"3043",2022,"MI","FT","Data Engineer",24000,"USD",24000,"US",0,"US","M",3.67010373618225
"3044",2022,"MI","FT","Data Engineer",24000,"USD",24000,"US",0,"US","M",4.53480225613094
"3052",2022,"MI","FT","Machine Learning Engineer",193900,"USD",193900,"US",0,"US","M",2.79274681070674
"3053",2022,"MI","FT","Machine Learning Engineer",129300,"USD",129300,"US",0,"US","M",4.62876731504835
"3056",2022,"MI","FT","Data Analyst",216200,"USD",216200,"US",0,"US","M",4.57616473280411
"3057",2022,"MI","FT","Data Analyst",144100,"USD",144100,"US",0,"US","M",5.23622387908971
"3062",2022,"MI","FT","Data Scientist",4200000,"INR",53416,"IN",100,"ID","L",4.47553963797917
"3066",2022,"MI","FT","Data Scientist",107000,"GBP",131752,"GB",100,"GB","M",2.45285251160974
"3073",2022,"MI","FT","Data Analyst",130000,"USD",130000,"US",100,"US","M",4.05546879788962
"3076",2022,"MI","FL","Applied Machine Learning Scientist",2400000,"INR",30523,"IN",100,"IN","S",4.68006209093678
"3079",2022,"MI","FT","Analytics Engineer",200000,"USD",200000,"US",0,"US","M",2.64979843020687
"3080",2022,"MI","FT","Analytics Engineer",54000,"USD",54000,"US",0,"US","M",4.24510244448737
"3096",2022,"MI","FT","Data Engineer",74000,"GBP",91118,"GB",0,"GB","M",3.69265146404799
"3097",2022,"MI","FT","Data Engineer",50000,"GBP",61566,"GB",0,"GB","M",4.73136456653745
"3098",2022,"MI","FT","Data Scientist",58000,"EUR",60938,"DE",100,"DE","S",4.20138180605695
"3103",2022,"MI","FT","Data Scientist",65000,"GBP",80036,"GB",50,"GB","M",2.42453716713106
"3114",2022,"MI","FT","Data Engineer",110000,"GBP",135446,"GB",0,"GB","M",4.02353877743927
"3115",2022,"MI","FT","Data Engineer",85000,"GBP",104663,"GB",0,"GB","M",4.80164111102937
"3125",2022,"MI","FT","Data Scientist",25000,"USD",25000,"TR",50,"TR","M",1.44437262528788
"3126",2022,"MI","FT","Data Analyst",90000,"SGD",65257,"SG",50,"SG","M",3.47308931905085
"3127",2022,"MI","FT","AI Scientist",200000,"USD",200000,"US",100,"US","M",2.68714110936487
"3129",2022,"MI","FT","Data Scientist",153000,"USD",153000,"US",100,"US","L",4.80086134632853
"3134",2022,"MI","FT","Machine Learning Scientist",22800,"USD",22800,"EG",100,"EG","M",4.71310077052542
"3145",2022,"MI","FT","Data Engineer",75000,"GBP",92350,"GB",100,"GB","M",5.03191486258691
"3146",2022,"MI","FT","Data Engineer",55000,"GBP",67723,"GB",100,"GB","M",5.68180849795089
"3155",2022,"MI","FT","Data Engineer",62500,"EUR",65666,"DE",50,"DE","S",3.77368960410802
"3156",2022,"MI","FT","AI Scientist",200000,"USD",200000,"IN",100,"US","L",3.80207096811746
"3157",2022,"MI","FT","Machine Learning Engineer",95000,"GBP",116976,"GB",0,"GB","M",5.04370225232125
"3158",2022,"MI","FT","Machine Learning Engineer",75000,"GBP",92350,"GB",0,"GB","M",3.55826265240502
"3159",2022,"MI","FT","AI Scientist",120000,"USD",120000,"US",0,"US","M",2.36337090268042
"3165",2022,"MI","FT","Data Engineer",90000,"GBP",110820,"GB",0,"GB","M",4.21156259323186
"3166",2022,"MI","FT","Data Engineer",75000,"GBP",92350,"GB",0,"GB","M",3.53516827155751
"3175",2022,"MI","FT","Machine Learning Engineer",80000,"EUR",84053,"FR",100,"DE","M",3.33764278804383
"3182",2022,"MI","FT","ETL Developer",50000,"EUR",52533,"GR",0,"GR","M",3.8670464028544
"3183",2022,"MI","FT","ETL Developer",50000,"EUR",52533,"GR",0,"GR","M",2.67829829048875
"3197",2022,"MI","FT","Data Analyst",40000,"GBP",49253,"GB",100,"GB","M",4.07669278134322
"3198",2022,"MI","FT","Data Analyst",30000,"GBP",36940,"GB",100,"GB","M",3.61500912061805
"3199",2022,"MI","FT","Data Analyst",40000,"EUR",42026,"ES",100,"ES","M",4.94730644450216
"3200",2022,"MI","FT","Data Analyst",30000,"EUR",31520,"ES",100,"ES","M",4.02168627194479
"3201",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"ES",100,"ES","M",3.54170599222817
"3202",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"ES",100,"ES","M",4.22886214469694
"3203",2022,"MI","FT","Data Engineer",80000,"GBP",98506,"GB",100,"GB","M",2.60359237150823
"3204",2022,"MI","FT","Data Engineer",70000,"GBP",86193,"GB",100,"GB","M",4.92429420212992
"3205",2022,"MI","FT","Data Engineer",80000,"EUR",84053,"GR",100,"GR","M",4.06621604105375
"3206",2022,"MI","FT","Data Engineer",70000,"EUR",73546,"GR",100,"GR","M",4.80289084221957
"3209",2022,"MI","FT","Data Analyst",40000,"EUR",42026,"GR",100,"GR","M",3.93947473874316
"3210",2022,"MI","FT","Data Analyst",30000,"EUR",31520,"GR",100,"GR","M",4.08932861914223
"3211",2022,"MI","FT","Data Engineer",75000,"GBP",92350,"GB",100,"GB","M",4.40131137647635
"3212",2022,"MI","FT","Data Engineer",60000,"GBP",73880,"GB",100,"GB","M",3.11143939599575
"3215",2022,"MI","FT","Data Engineer",60000,"EUR",63040,"ES",100,"ES","M",5.44916942543378
"3216",2022,"MI","FT","Data Engineer",45000,"EUR",47280,"ES",100,"ES","M",4.20551047185944
"3219",2022,"MI","FT","Data Scientist",55000,"GBP",67723,"GB",0,"GB","M",3.9438800323356
"3220",2022,"MI","FT","Data Scientist",35000,"GBP",43096,"GB",0,"GB","M",3.36014054465686
"3221",2022,"MI","FT","Data Engineer",60000,"EUR",63040,"GR",100,"GR","M",4.71778099875746
"3222",2022,"MI","FT","Data Engineer",45000,"EUR",47280,"GR",100,"GR","M",3.93549970889452
"3223",2022,"MI","FT","Data Engineer",60000,"GBP",73880,"GB",100,"GB","M",4.13242959590706
"3224",2022,"MI","FT","Data Engineer",45000,"GBP",55410,"GB",100,"GB","M",4.03471508455409
"3225",2021,"MI","FT","Machine Learning Engineer",43200,"EUR",51064,"IT",50,"IT","L",4.28165263482086
"3227",2022,"MI","FT","Data Engineer",82900,"USD",82900,"US",0,"US","M",4.91927825482767
"3228",2022,"MI","FT","Data Engineer",63900,"USD",63900,"US",0,"US","M",2.9572768470741
"3229",2022,"MI","FT","Machine Learning Scientist",160000,"USD",160000,"US",100,"US","L",3.7863773197946
"3230",2022,"MI","FT","Machine Learning Scientist",112300,"USD",112300,"US",100,"US","L",5.77794707687002
"3231",2022,"MI","FT","Data Science Manager",241000,"USD",241000,"US",100,"US","M",5.46094086182791
"3232",2022,"MI","FT","Data Science Manager",159000,"USD",159000,"US",100,"US","M",3.63544917742199
"3235",2022,"MI","FT","Data Analyst",58000,"USD",58000,"US",0,"US","S",3.38683957862602
"3236",2022,"MI","FT","Data Analyst",58000,"USD",58000,"US",0,"US","S",4.4959067804406
"3241",2022,"MI","FT","Data Scientist",50000,"GBP",61566,"GB",0,"GB","M",4.24563858632494
"3242",2022,"MI","FT","Data Scientist",30000,"GBP",36940,"GB",0,"GB","M",3.87209519016781
"3243",2022,"MI","FT","Data Engineer",60000,"GBP",73880,"GB",0,"GB","M",2.74956058188581
"3244",2022,"MI","FT","Data Engineer",40000,"GBP",49253,"GB",0,"GB","M",5.6343509612082
"3255",2022,"MI","FT","Data Analyst",126500,"USD",126500,"US",0,"US","M",4.97543576436395
"3256",2022,"MI","FT","Data Analyst",106260,"USD",106260,"US",0,"US","M",5.08407793761813
"3261",2022,"MI","FT","Data Scientist",130000,"USD",130000,"US",0,"US","M",3.64061272854046
"3262",2022,"MI","FT","Data Scientist",90000,"USD",90000,"US",0,"US","M",2.9844803269369
"3263",2022,"MI","FT","Data Engineer",170000,"USD",170000,"US",100,"US","M",5.33552147320614
"3264",2022,"MI","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M",3.8444377239424
"3297",2022,"MI","FT","Data Analyst",167000,"USD",167000,"US",100,"US","M",4.92660849817811
"3298",2022,"MI","FT","Data Analyst",115500,"USD",115500,"US",100,"US","M",4.88924568826877
"3339",2022,"MI","FT","Data Analyst",85000,"USD",85000,"CA",0,"CA","M",4.14511699157134
"3340",2022,"MI","FT","Data Analyst",75000,"USD",75000,"CA",0,"CA","M",3.18135337389033
"3347",2022,"MI","FT","Data Scientist",141300,"USD",141300,"US",0,"US","M",2.76317713879571
"3348",2022,"MI","FT","Data Scientist",102100,"USD",102100,"US",0,"US","M",6.31722564578261
"3351",2022,"MI","FT","Data Engineer",206699,"USD",206699,"US",0,"US","M",4.05072430823386
"3352",2022,"MI","FT","Data Engineer",99100,"USD",99100,"US",0,"US","M",4.29083550974162
"3355",2022,"MI","FT","Data Analyst",50000,"GBP",61566,"GB",0,"GB","M",2.18871026014826
"3356",2022,"MI","FT","Data Analyst",35000,"GBP",43096,"GB",0,"GB","M",2.85485231381873
"3367",2022,"MI","FT","Data Scientist",160000,"USD",160000,"US",100,"US","M",5.28087282215109
"3368",2022,"MI","FT","Data Scientist",130000,"USD",130000,"US",100,"US","M",2.64052997897714
"3399",2022,"MI","FT","Data Analyst",135000,"USD",135000,"US",100,"US","M",5.8849707369725
"3400",2022,"MI","FT","Data Analyst",50000,"USD",50000,"US",100,"US","M",2.63139843964045
"3403",2022,"MI","FT","Data Scientist",140000,"GBP",172386,"GB",0,"GB","M",4.543940411562
"3404",2022,"MI","FT","Data Scientist",70000,"GBP",86193,"GB",0,"GB","M",2.7619698316026
"3407",2022,"MI","FT","Data Scientist",200000,"USD",200000,"US",100,"US","M",5.87713234257007
"3408",2022,"MI","FT","Data Scientist",120000,"USD",120000,"US",100,"US","M",2.55418992807293
"3419",2022,"MI","FT","Machine Learning Developer",100000,"CAD",76814,"CA",100,"CA","M",3.84663260236623
"3422",2022,"MI","FT","Machine Learning Engineer",120000,"USD",120000,"US",100,"US","S",3.05431137973126
"3423",2022,"MI","FT","Business Data Analyst",1400000,"INR",17805,"IN",100,"IN","M",4.31240499413719
"3424",2022,"MI","FT","Data Scientist",2400000,"INR",30523,"IN",100,"IN","L",4.27472437501843
"3425",2022,"MI","FT","Machine Learning Infrastructure Engineer",53000,"EUR",55685,"PT",50,"PT","L",3.68455768359364
"3426",2022,"MI","PT","Data Engineer",50000,"EUR",52533,"DE",50,"DE","L",3.61563240201249
"3428",2022,"MI","FT","Applied Machine Learning Scientist",75000,"USD",75000,"BO",100,"US","L",2.57106426786575
"3429",2022,"MI","FT","Applied Data Scientist",157000,"USD",157000,"US",100,"US","L",4.96341768923641
"3430",2022,"MI","FT","Business Data Analyst",90000,"CAD",69133,"CA",50,"CA","L",4.61378162134417
"3433",2021,"MI","FT","Data Scientist",109000,"USD",109000,"US",50,"US","L",3.63144556678316
"3434",2022,"MI","FT","Data Scientist",88000,"CAD",67597,"CA",100,"CA","M",2.19295534043626
"3436",2022,"MI","FT","Data Analyst",20000,"USD",20000,"GR",100,"GR","S",5.35543844331659
"3440",2022,"MI","FT","Data Scientist",78000,"USD",78000,"US",100,"US","M",4.44568016611477
"3443",2022,"MI","FT","Machine Learning Engineer",121000,"AUD",83864,"AU",100,"AU","L",4.16479479147032
"3445",2022,"MI","FT","Head of Data",30000,"EUR",31520,"EE",100,"EE","S",4.02997776587805
"3451",2022,"MI","FT","Machine Learning Scientist",153000,"USD",153000,"US",50,"US","M",3.32388708629879
"3454",2022,"MI","FT","Data Scientist",150000,"PLN",33609,"PL",100,"PL","L",5.13604965148959
"3455",2022,"MI","FT","Principal Data Analyst",75000,"USD",75000,"CA",100,"CA","S",6.16933212747923
"3456",2020,"MI","FT","Product Data Analyst",20000,"USD",20000,"HN",0,"HN","S",2.91098071026884
"3458",2021,"MI","FT","Research Scientist",69999,"USD",69999,"CZ",50,"CZ","L",2.89727390252862
"3460",2022,"MI","FT","Research Scientist",59000,"EUR",61989,"AT",0,"AT","L",5.3026361736082
"3463",2022,"MI","FT","Data Scientist",135000,"USD",135000,"US",100,"US","L",1.22167448968533
"3467",2021,"MI","FT","Data Analyst",135000,"USD",135000,"US",100,"US","L",4.34131156062563
"3470",2022,"MI","FT","Data Scientist",115000,"CHF",120402,"CH",0,"CH","L",3.77645021391604
"3472",2022,"MI","FT","Data Engineer",62000,"EUR",65141,"FR",100,"FR","M",3.80122840481431
"3473",2022,"MI","FT","Data Scientist",48000,"USD",48000,"RU",100,"US","S",5.63330267976011
"3476",2021,"MI","FT","ML Engineer",8500000,"JPY",77364,"JP",50,"JP","S",2.13037848686609
"3477",2021,"MI","FT","ML Engineer",7000000,"JPY",63711,"JP",50,"JP","S",3.74991115316758
"3479",2021,"MI","FT","Data Analyst",90000,"USD",90000,"US",100,"US","M",2.62924066617709
"3480",2022,"MI","FL","Data Scientist",100000,"USD",100000,"CA",100,"US","M",5.45126184360921
"3486",2021,"MI","FT","Applied Machine Learning Scientist",38400,"USD",38400,"VN",100,"US","M",1.86209022510675
"3488",2021,"MI","FT","Data Scientist",82500,"USD",82500,"US",100,"US","S",3.42273895249167
"3495",2021,"MI","FT","Data Scientist",700000,"INR",9466,"IN",0,"IN","S",4.23644945155543
"3502",2021,"MI","FT","Big Data Engineer",60000,"USD",60000,"ES",50,"RO","M",5.09985656336821
"3503",2021,"MI","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L",4.56128271365065
"3505",2021,"MI","FT","Data Engineer",100000,"USD",100000,"US",100,"US","L",6.30362700541773
"3507",2020,"MI","FT","Data Engineer",51999,"EUR",59303,"DE",100,"DE","S",6.0208958968894
"3508",2021,"MI","FT","Research Scientist",53000,"EUR",62649,"FR",50,"FR","M",3.94212148126018
"3509",2021,"MI","FT","Data Engineer",60000,"GBP",82528,"GB",100,"GB","L",4.44209337556445
"3510",2021,"MI","FT","Data Architect",170000,"USD",170000,"US",100,"US","L",2.69666885988209
"3511",2021,"MI","FT","Data Architect",150000,"USD",150000,"US",100,"US","L",3.96477957174612
"3523",2020,"MI","FT","Research Scientist",450000,"USD",450000,"US",0,"US","M",4.92425431612853
"3524",2020,"MI","FT","Data Analyst",41000,"EUR",46759,"FR",50,"FR","L",3.6391716669548
"3525",2020,"MI","FT","Data Engineer",65000,"EUR",74130,"AT",50,"AT","L",4.46717268081643
"3529",2021,"MI","FT","Data Scientist",95000,"CAD",75774,"CA",100,"CA","L",3.79876313941058
"3530",2021,"MI","FT","Data Scientist",150000,"USD",150000,"US",100,"US","M",3.99465265681819
"3531",2020,"MI","FT","Data Science Consultant",103000,"USD",103000,"US",100,"US","L",3.46699671297506
"3533",2021,"MI","FT","Data Engineer",90000,"USD",90000,"US",100,"US","L",3.48458485877479
"3536",2021,"MI","FT","Data Scientist",50000,"USD",50000,"NG",100,"NG","L",3.91508909072892
"3538",2021,"MI","PT","3D Computer Vision Researcher",400000,"INR",5409,"IN",50,"IN","M",4.43593334004116
"3539",2021,"MI","CT","ML Engineer",270000,"USD",270000,"US",100,"US","L",4.99795424397786
"3540",2021,"MI","FT","Applied Data Scientist",68000,"CAD",54238,"GB",50,"CA","L",2.8368107393373
"3541",2021,"MI","FT","Machine Learning Engineer",40000,"EUR",47282,"ES",100,"ES","S",5.68089383773506
"3543",2021,"MI","FT","Data Engineer",110000,"PLN",28476,"PL",100,"PL","L",5.2171205130423
"3544",2021,"MI","FT","Data Analytics Engineer",110000,"USD",110000,"US",100,"US","L",3.97256117314953
"3551",2021,"MI","FT","Data Engineer",140000,"USD",140000,"US",100,"US","L",3.70845439570271
"3555",2020,"MI","FT","Data Scientist",45760,"USD",45760,"PH",100,"US","S",4.97262782127357
"3556",2021,"MI","FT","BI Data Analyst",100000,"USD",100000,"US",100,"US","M",3.76029327069474
"3563",2020,"MI","FT","Machine Learning Infrastructure Engineer",44000,"EUR",50180,"PT",0,"PT","M",3.09828232431894
"3571",2021,"MI","FT","Research Scientist",235000,"CAD",187442,"CA",100,"CA","L",3.36882567487738
"3572",2021,"MI","FT","Data Analyst",37456,"GBP",51519,"GB",50,"GB","L",2.3740249147657
"3573",2020,"MI","FT","Data Engineer",106000,"USD",106000,"US",100,"US","L",1.85050405507428
"3574",2020,"MI","FT","Data Engineer",88000,"GBP",112872,"GB",50,"GB","L",6.11262792349993
"3575",2021,"MI","FT","BI Data Analyst",11000000,"HUF",36259,"HU",50,"US","L",4.2690804332535
"3578",2021,"MI","FT","Computer Vision Software Engineer",81000,"EUR",95746,"DE",100,"US","S",3.48052784439055
"3580",2020,"MI","FT","Data Scientist",60000,"GBP",76958,"GB",100,"GB","S",3.98426555589102
"3581",2021,"MI","FT","Cloud Data Engineer",120000,"SGD",89294,"SG",50,"SG","L",3.8487470808801
"3586",2020,"MI","FT","Data Scientist",105000,"USD",105000,"US",100,"US","L",4.08823135381368
"3587",2021,"MI","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L",4.77890251191971
"3589",2021,"MI","FT","Data Analyst",93000,"USD",93000,"US",100,"US","L",4.38672013758607
"3593",2020,"MI","FT","Data Engineer",61500,"EUR",70139,"FR",50,"FR","L",4.34795346701924
"3598",2021,"MI","FT","Data Engineer",108000,"TRY",12103,"TR",0,"TR","M",2.1004286205571
"3600",2021,"MI","FT","Data Engineer",52500,"GBP",72212,"GB",50,"GB","L",3.94231758401207
"3604",2021,"MI","FT","Data Analyst",80000,"USD",80000,"US",100,"US","L",3.52869501353887
"3608",2020,"MI","FT","Lead Data Scientist",115000,"USD",115000,"AE",0,"AE","L",4.63473129816543
"3609",2021,"MI","FT","Research Scientist",80000,"CAD",63810,"CA",100,"CA","M",3.03925630730888
"3611",2021,"MI","FT","Head of Data Science",110000,"USD",110000,"US",0,"US","S",3.19517538937138
"3612",2021,"MI","FT","Data Architect",180000,"USD",180000,"US",100,"US","L",3.50405323783357
"3617",2021,"MI","FT","Data Engineer",110000,"USD",110000,"US",100,"US","L",3.58152301607131
"3618",2020,"MI","FT","Data Scientist",70000,"EUR",79833,"DE",0,"DE","L",3.34501554973225
"3621",2021,"MI","PT","Data Engineer",59000,"EUR",69741,"NL",100,"NL","L",5.39548649027518
"3623",2021,"MI","FT","Data Engineer",112000,"USD",112000,"US",100,"US","L",7.09369662832478
"3635",2021,"MI","FT","Data Engineer",250000,"TRY",28016,"TR",100,"TR","M",5.90082563123672
"3636",2021,"MI","FT","Data Engineer",111775,"USD",111775,"US",0,"US","M",3.60468100732192
"3637",2021,"MI","FT","Data Engineer",93150,"USD",93150,"US",0,"US","M",3.41329762747012
"3639",2021,"MI","FT","Data Scientist",21600,"EUR",25532,"RS",100,"DE","S",4.46176538624796
"3641",2021,"MI","FT","Data Scientist",1250000,"INR",16904,"IN",100,"IN","S",4.09720933866593
